date,open,close,high,low,volume,amount
2004-12-30,,1.0,,,,
2004-12-31,,0.996,,,,
2005-01-07,,0.981,,,,
2005-01-14,,0.983,,,,
2005-01-21,,0.988,,,,
2005-01-28,,0.976,,,,
2005-02-04,,0.873,,,,
2005-02-18,,0.856,,,,
2005-02-21,,0.874,,,,
2005-02-22,,0.887,,,,
2005-02-23,,0.878,,,,
2005-02-24,,0.877,,,,
2005-02-25,,0.878,,,,
2005-02-28,,0.869,,,,
2005-03-01,,0.866,,,,
2005-03-02,,0.856,,,,
2005-03-03,,0.862,,,,
2005-03-04,,0.859,,,,
2005-03-07,,0.864,,,,
2005-03-08,,0.876,,,,
2005-03-09,,0.869,,,,
2005-03-10,,0.851,,,,
2005-03-11,,0.854,,,,
2005-03-14,,0.857,,,,
2005-03-15,,0.841,,,,
2005-03-16,,0.833,,,,
2005-03-17,,0.827,,,,
2005-03-18,,0.821,,,,
2005-03-21,,0.823,,,,
2005-03-22,,0.808,,,,
2005-03-23,,0.802,,,,
2005-03-24,,0.808,,,,
2005-03-25,,0.807,,,,
2005-03-28,,0.806,,,,
2005-03-29,,0.803,,,,
2005-03-30,,0.791,,,,
2005-03-31,,0.796,,,,
2005-04-01,,0.823,,,,
2005-04-04,,0.809,,,,
2005-04-05,,0.802,,,,
2005-04-06,,0.817,,,,
2005-04-07,,0.825,,,,
2005-04-08,,0.838,,,,
2005-04-11,,0.831,,,,
2005-04-12,,0.819,,,,
2005-04-13,,0.836,,,,
2005-04-14,,0.826,,,,
2005-04-15,,0.817,,,,
2005-04-18,,0.806,,,,
2005-04-19,,0.809,,,,
2005-04-20,,0.799,,,,
2005-04-21,,0.794,,,,
2005-04-22,,0.795,,,,
2005-04-25,,0.791,,,,
2005-04-26,,0.799,,,,
2005-04-27,,0.785,,,,
2005-04-28,,0.795,,,,
2005-04-29,,0.792,,,,
2005-05-09,,0.777,,,,
2005-05-10,,0.781,,,,
2005-05-11,,0.773,,,,
2005-05-12,,0.756,,,,
2005-05-13,,0.759,,,,
2005-05-16,,0.75,,,,
2005-05-17,,0.753,,,,
2005-05-18,,0.755,,,,
